index,name,imdbUrl,screentime,episodes,portrayedBy
0,Tyrion Lannister,http://www.imdb.com/character/ch0146096/,293.3,54,"{'name': 'Peter Dinklage', 'imdbUrl': 'http://www.imdb.com/name/nm0227759/'}"
1,Jon Snow,http://www.imdb.com/character/ch0155777/,268.15,49,"{'name': 'Kit Harington', 'imdbUrl': 'http://www.imdb.com/name/nm3229685/'}"
2,Daenerys Targaryen,http://www.imdb.com/character/ch0158597/,221.3,49,"{'name': 'Emilia Clarke', 'imdbUrl': 'http://www.imdb.com/name/nm3592338/'}"
3,Cersei Lannister,http://www.imdb.com/character/ch0159526/,201.45,52,"{'name': 'Lena Headey', 'imdbUrl': 'http://www.imdb.com/name/nm0372176/'}"
4,Sansa Stark,http://www.imdb.com/character/ch0158137/,199.3,47,"{'name': 'Sophie Turner', 'imdbUrl': 'http://www.imdb.com/name/nm3849842/'}"
5,Arya Stark,http://www.imdb.com/character/ch0158604/,189.15,47,"{'name': 'Maisie Williams', 'imdbUrl': 'http://www.imdb.com/name/nm3586035/'}"
6,Jaime Lannister,http://www.imdb.com/character/ch0158527/,162.3,43,"{'name': 'Nikolaj Coster-Waldau', 'imdbUrl': 'http://www.imdb.com/name/nm0182666/'}"
7,Theon Greyjoy,http://www.imdb.com/character/ch0158526/,123.3,39,"{'name': 'Alfie Allen', 'imdbUrl': 'http://www.imdb.com/name/nm0654295/'}"
8,Samwell Tarly,http://www.imdb.com/character/ch0244961/,121.45,37,"{'name': 'John Bradley', 'imdbUrl': 'http://www.imdb.com/name/nm4263213/'}"
9,Jorah Mormont,http://www.imdb.com/character/ch0158221/,117.3,42,"{'name': 'Iain Glen', 'imdbUrl': 'http://www.imdb.com/name/nm0322513/'}"
10,Petyr 'Littlefinger' Baelish,http://www.imdb.com/character/ch0245982/,102.15,35,"{'name': 'Aidan Gillen', 'imdbUrl': 'http://www.imdb.com/name/nm0318821/'}"
11,Eddard 'Ned' Stark,http://www.imdb.com/character/ch0154681/,99.45,16,"{'name': 'Sean Bean', 'imdbUrl': 'http://www.imdb.com/name/nm0000293/'}"
12,Brienne of Tarth,http://www.imdb.com/character/ch0254503/,89.3,32,"{'name': 'Gwendoline Christie', 'imdbUrl': 'http://www.imdb.com/name/nm3729225/'}"
13,Davos Seaworth,http://www.imdb.com/character/ch0255396/,89.3,29,"{'name': 'Liam Cunningham', 'imdbUrl': 'http://www.imdb.com/name/nm0192377/'}"
14,Bran Stark,http://www.imdb.com/character/ch0234897/,86.0,30,"{'name': 'Isaac Hempstead Wright', 'imdbUrl': 'http://www.imdb.com/name/nm3652842/'}"
15,Catelyn Stark,http://www.imdb.com/character/ch0145135/,82.45,26,"{'name': 'Michelle Fairley', 'imdbUrl': 'http://www.imdb.com/name/nm0265610/'}"
16,Lord Varys,http://www.imdb.com/character/ch0249636/,81.45,36,"{'name': 'Conleth Hill', 'imdbUrl': 'http://www.imdb.com/name/nm0384152/'}"
17,Tywin Lannister,http://www.imdb.com/character/ch0242185/,78.15,27,"{'name': 'Charles Dance', 'imdbUrl': 'http://www.imdb.com/name/nm0001097/'}"
18,Margaery Tyrell,http://www.imdb.com/character/ch0251974/,78.0,26,"{'name': 'Natalie Dormer', 'imdbUrl': 'http://www.imdb.com/name/nm1754059/'}"
19,Robb Stark,http://www.imdb.com/character/ch0158596/,77.45,21,"{'name': 'Richard Madden', 'imdbUrl': 'http://www.imdb.com/name/nm0534635/'}"
20,Stannis Baratheon,http://www.imdb.com/character/ch0250897/,73.15,24,"{'name': 'Stephen Dillane', 'imdbUrl': 'http://www.imdb.com/name/nm0226820/'}"
21,Sandor 'The Hound' Clegane,http://www.imdb.com/character/ch0162882/,72.45,29,"{'name': 'Rory McCann', 'imdbUrl': 'http://www.imdb.com/name/nm0564920/'}"
22,Joffrey Baratheon,http://www.imdb.com/character/ch0156278/,70.15,26,"{'name': 'Jack Gleeson', 'imdbUrl': 'http://www.imdb.com/name/nm0322416/'}"
23,Ramsay Bolton,http://www.imdb.com/character/ch0321004/,66.0,20,"{'name': 'Iwan Rheon', 'imdbUrl': 'http://www.imdb.com/name/nm3701064/'}"
